Context                                                                    	Reference	Predicted	Comment
The GPS [routed] us through the village ‘                                  	PATH    	PATH    	
Furthermore the trip [lead] us into the village of                         	PATH    	PATH    	
After about 1,000 meters we [reached] the confluence point on a            	PATH    	PATH    	
On our easter holiday [trip] to Munich I convinced the                     	PATH    	PATH    	
I convinced the family to [visit] this beautiful confluence                	PATH    	PATH    	
After having [left] the highway it´s only                                  	PATH    	PATH    	
it´s only a short [trip] through Augsburg and some smaller                 	PATH    	PATH    	
and some smaller villages to [come] to this point                          	PATH    	PATH    	
We [drove] some small roads along nice                                     	COMPOUND	COMPOUND	
along nice Bavarian meadows and [stopped] about 500 m away from            	PATH    	PATH    	
view on the Alps while [dancing] towards the desired zeros                 	COMPOUND	PATH    	
our pictures we continued our [trip] to Munich and the Bavarian            	PATH    	COMPOUND	
The initial plan was to [meet up] up with my brother and                   	PATH    	PATH    	
Instead of [rushing] there visiting some people                            	COMPOUND	PATH    	I agree with the predicted value here
Instead of rushing there [visiting] some people and rushing                	PATH    	PATH    	
visiting some people and [rushing] back we decided to                      	COMPOUND	COMPOUND	
back we decided to [leave] early and visit CP 48N                          	PATH    	PATH    	
decided to leave early and [visit] CP 48N 12E on the                       	PATH    	PATH    	
We [left] Salzburg at around 11 a.m                                        	PATH    	PATH    	
Salzburg at around 11 a.m [driving] along the A8 main                      	COMPOUND	COMPOUND	
and then towards Ebersberg before [turning] off down the road that         	PATH    	COMPOUND	
off down the road that [took] us to the CP                                 	PATH    	PATH    	
We [stopped] before the bridge over the                                    	PATH    	PATH    	
be frozen so I could [walk] into the field with my                         	COMPOUND	COMPOUND	
the necessary photos and [clear] off                                       	PATH    	COMPOUND	
We took a short [walk] to the infamous SPD meridian                        	COMPOUND	COMPOUND	
more photos and decided to [head] for Ingolstadt                           	PATH    	PATH    	
and we d just successfully [visited] a confluence point                    	PATH    	PATH    	
After an easy [entry] to Romania we visited the                            	PATH    	PATH    	
easy entry to Romania we [visited] the church of Pătrăuţi                  	PATH    	PATH    	
Then [passing] Suceava and Botoşani we headed                              	PATH    	PATH    	
passing Suceava and Botoşani we [headed] to Săveni where we                	PATH    	PATH    	
to Săveni where we [took] road 29 towards Manoleasa                        	PATH    	PATH    	
This road [brought] us to a distance of                                    	PATH    	PATH    	
is not very difficult to [find] the point                                  	PATH    	PATH    	
