,MANNER,PATH,COMPOUND
Scottish,0.31,-0.23,0.05
I.E.,0.22,-0.09,-0.05
Scandinavian,0.16,-0.27,0.18
English,0.09,0.06,-0.12
American English,0.07,-0.22,0.19
Old Norse,0.05,-0.13,0.11
Anglo-French,0.05,0.01,-0.04
Old Frisian,0.03,0.08,-0.10
PIE,0.01,-0.09,0.09
Old High German,0.01,-0.09,0.09
Proto-Germanic,-0.02,-0.07,0.09
Russian,-0.03,0.06,-0.05
Middle French,-0.03,0.06,-0.05
Low German,-0.03,0.06,-0.05
Late Latin,-0.03,0.06,-0.05
Gaulish,-0.03,-0.09,0.11
Gaelic,-0.03,-0.09,0.11
Frisian,-0.03,0.06,-0.05
Scot.,-0.04,0.09,-0.07
Modern English,-0.04,-0.12,0.15
Irish,-0.04,-0.12,0.15
Celtic,-0.04,-0.12,0.15
Old French,-0.05,0.12,-0.09
German,-0.05,-0.09,0.13
West Frisian,-0.06,0.14,-0.12
Danish,-0.06,-0.13,0.17
Swedish,-0.07,-0.12,0.17
Old Irish,-0.07,-0.06,0.11
Frankish,-0.07,0.11,-0.08
Old English,-0.08,-0.02,0.07
Old Church Slavonic,-0.08,0.09,-0.05
Latin,-0.08,0.22,-0.18
Spanish,-0.09,0.11,-0.05
Middle Low German,-0.09,0.01,0.05
Middle English,-0.10,0.17,-0.12
Vulgar Latin,-0.11,0.16,-0.10
Lithuanian,-0.11,0.15,-0.09
Italian,-0.11,0.17,-0.11
Dutch,-0.11,-0.06,0.13
West Germanic,-0.12,-0.00,0.08
Sanskrit,-0.12,0.18,-0.12
Middle Dutch,-0.12,-0.01,0.09
Greek,-0.12,0.17,-0.10
Old Saxon,-0.13,0.19,-0.11
Germanic,-0.13,0.04,0.04
French,-0.14,0.30,-0.23
Gothic,-0.16,0.05,0.05
