,COMPOUND,MANNER,PATH
American English,0.538461538462,0.153846153846,0.307692307692
Anglo-French,0.25,0.166666666667,0.583333333333
Celtic,1.0,0.0,0.0
Danish,0.8,0.0,0.2
Dutch,0.454545454545,0.030303030303,0.515151515152
English,0.210526315789,0.157894736842,0.631578947368
Frankish,0.142857142857,0.0,0.857142857143
French,0.0714285714286,0.0,0.928571428571
Frisian,0.0,0.0,1.0
Gaelic,1.0,0.0,0.0
Gaulish,1.0,0.0,0.0
German,0.409836065574,0.0819672131148,0.508196721311
Germanic,0.375,0.0,0.625
Gothic,0.375,0.0,0.625
Greek,0.190476190476,0.0,0.809523809524
I.E.,0.0,1.0,0.0
Irish,1.0,0.0,0.0
Italian,0.166666666667,0.0,0.833333333333
Late Latin,0.0,0.0,1.0
Latin,0.203389830508,0.0677966101695,0.728813559322
Lithuanian,0.1875,0.0,0.8125
Low German,0.0,0.0,1.0
Middle Dutch,0.411764705882,0.0294117647059,0.558823529412
Middle English,0.2,0.0333333333333,0.766666666667
Middle French,0.0,0.0,1.0
Middle Low German,0.416666666667,0.0,0.583333333333
Modern English,1.0,0.0,0.0
Old Church Slavonic,0.222222222222,0.0,0.777777777778
Old English,0.358974358974,0.0769230769231,0.564102564103
Old French,0.254901960784,0.078431372549,0.666666666667
Old Frisian,0.238095238095,0.119047619048,0.642857142857
Old High German,0.391304347826,0.108695652174,0.5
Old Irish,0.571428571429,0.0,0.428571428571
Old Norse,0.421052631579,0.131578947368,0.447368421053
Old Saxon,0.216216216216,0.027027027027,0.756756756757
PIE,0.391304347826,0.108695652174,0.5
Proto-Germanic,0.388888888889,0.0925925925926,0.518518518519
Russian,0.0,0.0,1.0
Sanskrit,0.157894736842,0.0,0.842105263158
Scandinavian,0.6,0.266666666667,0.133333333333
Scot.,0.0,0.0,1.0
Scottish,0.428571428571,0.571428571429,0.0
Spanish,0.230769230769,0.0,0.769230769231
Swedish,0.714285714286,0.0,0.285714285714
Vulgar Latin,0.176470588235,0.0,0.823529411765
West Frisian,0.0,0.0,1.0
West Germanic,0.428571428571,0.0,0.571428571429
