,COMPOUND,MANNER,PATH
American English,14,4,8
Anglo-French,3,2,7
Celtic,2,0,0
Danish,4,0,1
Dutch,15,1,17
English,8,6,24
Frankish,1,0,6
French,2,0,26
Frisian,0,0,1
Gaelic,1,0,0
Gaulish,1,0,0
German,25,5,31
Germanic,9,0,15
Gothic,12,0,20
Greek,4,0,17
I.E.,0,1,0
Irish,2,0,0
Italian,3,0,15
Late Latin,0,0,1
Latin,12,4,43
Lithuanian,3,0,13
Low German,0,0,1
Middle Dutch,14,1,19
Middle English,6,1,23
Middle French,0,0,1
Middle Low German,5,0,7
Modern English,2,0,0
Old Church Slavonic,2,0,7
Old English,28,6,44
Old French,13,4,34
Old Frisian,10,5,27
Old High German,18,5,23
Old Irish,4,0,3
Old Norse,16,5,17
Old Saxon,8,1,28
PIE,18,5,23
Proto-Germanic,21,5,28
Russian,0,0,1
Sanskrit,3,0,16
Scandinavian,9,4,2
Scot.,0,0,2
Scottish,3,4,0
Spanish,3,0,10
Swedish,5,0,2
Vulgar Latin,3,0,14
West Frisian,0,0,5
West Germanic,9,0,12
